0,1
2,1
3,2
4,2
5,2
6,2
7,2
8,0
9,0
10,0
11,0
12,0
13,8
14,8
15,8
16,8
17,5
18,5
19,12
20,12
21,12
22,12
23,12
24,7
25,7
26,7
27,7
28,7
29,9
30,9
31,9
32,10
33,10
34,11
35,11
36,3
37,3
38,3
39,3
40,4
41,4
42,4
43,6
44,6
45,29
46,29
47,29
48,30
49,30
50,30
51,30
52,30
53,30
54,31
55,31
56,31
57,31
58,31
59,31
60,51
61,51
62,51
63,51
64,54
65,54
66,54
67,54
68,54
69,54
70,59
71,59
72,59
73,59
74,59
75,59
76,58
77,58
78,58
79,58
80,58
81,58
82,57
83,57
84,57
85,57
86,53
87,53
88,53
89,53
90,53
91,53
92,56
93,56
94,52
95,52
96,52
97,52
98,52
99,52
100,99
